day,time
2016-12-14-18-11-01,0m29.893s
2016-12-14-18-22-01,0m28.162s
2016-12-14-18-33-02,0m30.478s
2016-12-14-18-44-01,0m29.133s
2016-12-14-18-55-01,0m28.664s
2016-12-14-19-11-01,0m28.829s
2016-12-14-19-22-01,0m32.790s
2016-12-14-19-33-01,0m36.598s
2016-12-14-19-44-02,0m29.903s
2016-12-14-19-55-02,0m31.228s
2016-12-14-20-11-01,0m33.163s
2016-12-14-20-22-01,0m30.436s
2016-12-14-20-33-01,0m31.723s
2016-12-14-20-44-02,0m29.892s
2016-12-14-20-55-02,0m29.050s
